experiment_id,term,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max
E_n2,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356
E_n2,relative_volume^2,925,0.0,0.08360812203260706,0.022399724926571364,0.017845976957937274,0.0,0.0,0.01731502051880632,0.06231860758257156,0.08160128778945701,0.08360812203260706
E_n2,relative_volume_x_price_velocity,925,-1.245862871532394,0.9406611974034605,0.00442619501417145,0.1650427996831577,-0.4565535891142736,-0.24948322043420262,0.0,0.22674846409764396,0.36122783579292495,1.245862871532394
E_n2,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n2,spread^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n2,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n2,spread_change^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n2,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865
E_n2,volume_density^2,925,0.0,0.08333376131308098,0.02240259753372842,0.01784736802995233,0.0,0.0,0.017241510649009847,0.06250027293951069,0.0817949717506687,0.08333376131308098
E_n2,volume_density_x_price_displacement,925,-1.1925712430354065,0.9376339612220924,0.003148708151781945,0.1619966002700759,-0.43011656697680467,-0.24862622387726102,0.0,0.2277366317274665,0.3608730836235326,1.1925712430354065
E_n2,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191
E_n2,volume_log^2,925,0.0,1.1649418649809156,0.0260646652330667,0.044207820244849656,0.0,0.0,0.020309707362199007,0.07019376883127429,0.09623335175255872,1.1649418649809156
E_n2,volume_log_x_price_displacement,925,-0.8529356894616443,4.186164872427432,0.009331454828659247,0.21487908734085634,-0.4093001767010537,-0.269940089436396,0.0,0.25267739646366455,0.4329619478599369,4.186164872427432
E_n2,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0
E_n2,volume_movement_abs^2,925,0.0,64.0,0.8708027744102458,2.3543770578937404,0.0,0.0,0.32925950038092805,2.8937214044698507,5.301788350349908,64.0
E_n2,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0
E_n2,volume_movement_signed^2,925,0.0,64.0,1.1321975768139878,3.433874932448461,0.0,0.0,0.4436894287634986,3.2901163248276597,8.54191602106525,64.0
E_n3,bias,925,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
E_n3,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0
E_n3,directional_volume^2,925,0.0,64.0,0.7942793163428488,3.2721495201993864,0.0,0.0,0.16835536520714145,2.466440828159508,7.6068136254065735,64.0
E_n3,directional_volume^3,925,-512.0,4.010242366700306,-1.9020849808462854,23.21797458345092,-20.98245536201904,-3.782541775945077,0.00024274331392755346,0.85664877754049,1.9650194330553021,512.0
E_n3,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0
E_n3,price_acceleration^2,925,0.0,64.0,1.0065585643540156,3.504244021459928,0.0,0.0,0.2179434911079748,3.5504145960869544,5.598507875718631,64.0
E_n3,price_acceleration^3,925,-337.23622086768984,512.0,0.40384900941992075,24.86347545771962,-9.846099692160317,-4.0747090121586,0.0,3.38076394219091,10.08773442741331,512.0
E_n3,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0
E_n3,price_displacement^2,925,0.0,64.0,1.1315586629142762,3.414402702818406,0.0,0.0,0.4587561356912473,3.1305882481464837,8.445859957452159,64.0
E_n3,price_displacement^3,925,-482.77144308728265,512.0,-0.5306738230311032,24.427675279164905,-18.289019814110105,-3.495282363976001,0.0,3.8814620202965506,6.730811645382522,512.0
E_n3,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0
E_n3,price_velocity^2,925,0.0,64.0,1.1342171066109783,3.4835518130278125,0.0,0.0,0.4168328366846083,3.188556524494023,8.983659600065232,64.0
E_n3,price_velocity^3,925,-482.77144308728265,512.0,-0.39204534292309867,24.627539993995324,-18.289019814110105,-3.3531127202114126,0.0,3.913633302397448,8.200842005889983,512.0
E_n3,price_velocity_x_acceleration,925,-4.510354403633787,64.0,0.6985807468235256,2.9361732475239384,-1.180169944190142,-0.3313861329900572,0.13097176964595725,2.677769218174314,4.196033993045745,64.0
E_n3,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356
E_n3,relative_volume^2,925,0.0,0.08360812203260706,0.022399724926571364,0.017845976957937274,0.0,0.0,0.01731502051880632,0.06231860758257156,0.08160128778945701,0.08360812203260706
E_n3,relative_volume^3,925,-0.02417534624836202,0.0,-0.004107994968439882,0.004821143016527238,-0.023318220490914178,-0.015557028768763918,-0.0022784238381124643,0.0,0.0,0.02417534624836202
E_n3,relative_volume_x_price_velocity,925,-1.245862871532394,0.9406611974034605,0.00442619501417145,0.1650427996831577,-0.4565535891142736,-0.24948322043420262,0.0,0.22674846409764396,0.36122783579292495,1.245862871532394
E_n3,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n3,spread^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n3,spread^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n3,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n3,spread_change^2,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n3,spread_change^3,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_n3,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865
E_n3,volume_density^2,925,0.0,0.08333376131308098,0.02240259753372842,0.01784736802995233,0.0,0.0,0.017241510649009847,0.06250027293951069,0.0817949717506687,0.08333376131308098
E_n3,volume_density^3,925,-0.02405644653713923,0.0,-0.004108703747780451,0.004821940763088271,-0.02340310959794222,-0.01562510235242825,-0.002263929883289467,0.0,0.0,0.02405644653713923
E_n3,volume_density_x_price_displacement,925,-1.1925712430354065,0.9376339612220924,0.003148708151781945,0.1619966002700759,-0.43011656697680467,-0.24862622387726102,0.0,0.2277366317274665,0.3608730836235326,1.1925712430354065
E_n3,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191
E_n3,volume_log^2,925,0.0,1.1649418649809156,0.0260646652330667,0.044207820244849656,0.0,0.0,0.020309707362199007,0.07019376883127429,0.09623335175255872,1.1649418649809156
E_n3,volume_log^3,925,-0.04005472551539757,1.2573505596721848,-0.0034407181357017282,0.04221277813123004,-0.0284388882676171,-0.017954197285893064,-0.0028591494332809346,0.0,0.0,1.2573505596721848
E_n3,volume_log_x_price_displacement,925,-0.8529356894616443,4.186164872427432,0.009331454828659247,0.21487908734085634,-0.4093001767010537,-0.269940089436396,0.0,0.25267739646366455,0.4329619478599369,4.186164872427432
E_n3,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0
E_n3,volume_movement_abs^2,925,0.0,64.0,0.8708027744102458,2.3543770578937404,0.0,0.0,0.32925950038092805,2.8937214044698507,5.301788350349908,64.0
E_n3,volume_movement_abs^3,925,-4.88193726067771,512.0,1.0690759724849497,17.007778319837563,-3.7031343652780735,-2.016918565236827,0.0,4.9029308673113565,12.20771554984996,512.0
E_n3,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0
E_n3,volume_movement_signed^2,925,0.0,64.0,1.1321975768139878,3.433874932448461,0.0,0.0,0.4436894287634986,3.2901163248276597,8.54191602106525,64.0
E_n3,volume_movement_signed^3,925,-469.9821677272614,512.0,-0.5306546690046723,24.358844333474888,-18.80045203177736,-3.5050470088392522,0.0,4.001923100666585,7.7656711339017885,512.0
